City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Waddan,LY,29.1614,16.139,63.27,36,11,4.27,few clouds
336,Fukue,JP,32.6881,128.8419,61.27,54,61,9.71,broken clouds
337,Kaspiysk,RU,42.8816,47.6392,39.38,86,90,25.01,overcast clouds
338,Ionia,US,42.9873,-85.0711,38.28,69,90,4.61,overcast clouds
339,Bandarbeyla,SO,9.4942,50.8122,77.38,71,100,11.1,overcast clouds
340,Jesus Carranza,MX,17.4333,-95.0333,75.67,72,33,10.58,scattered clouds
341,Plettenberg Bay,ZA,-34.0527,23.3716,62.38,79,95,9.95,overcast clouds
342,Hami,CN,42.8,93.45,33.71,52,100,5.17,overcast clouds
343,Sur,OM,22.5667,59.5289,73.72,49,54,1.25,broken clouds
344,Muros,ES,42.7762,-9.0603,58.84,71,100,14.36,overcast clouds
345,Chipinge,ZW,-20.1883,32.6236,63.95,89,5,5.32,clear sky
346,Aguimes,ES,27.9054,-15.4461,65.03,70,40,10.36,scattered clouds
