City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Ponta Do Sol,PT,68.63,overcast clouds,32.6667,-17.1,
130,Castro,BR,66.97,overcast clouds,-24.7911,-50.0119,
131,Port Alfred,ZA,64.51,overcast clouds,-33.5906,26.891,
132,Ketchikan,US,37.08,overcast clouds,55.3422,-131.6461,
134,Hambantota,LK,77.34,few clouds,6.1241,81.1185,
135,Chambas,CU,76.96,overcast clouds,22.1928,-78.9136,
136,Huangchuan,CN,53.82,overcast clouds,32.1272,115.0394,
137,Comodoro Rivadavia,AR,57.06,few clouds,-45.8667,-67.5,
138,Richards Bay,ZA,72.91,overcast clouds,-28.783,32.0377,
139,Bredasdorp,ZA,64.27,overcast clouds,-34.5322,20.0403,
140,Faanui,PF,80.85,overcast clouds,-16.4833,-151.75,
141,Kaitangata,NZ,61.93,broken clouds,-46.2817,169.8464,
142,Kavaratti,IN,80.89,overcast clouds,10.5669,72.642,
143,Cururupu,BR,76.87,broken clouds,-1.8283,-44.8683,
144,Cidreira,BR,69.93,few clouds,-30.1811,-50.2056,
145,Sakakah,SA,54.97,broken clouds,29.9697,40.2064,
146,Mantua,IT,54.34,broken clouds,45.1667,10.7833,
147,Hellvik,NO,50.77,overcast clouds,59.9156,5.781,
149,Kijang,KR,46.13,overcast clouds,35.2442,129.2139,
150,Sitka,US,37.29,few clouds,57.0531,-135.33,
151,Galesong,ID,76.12,overcast clouds,-5.3166,119.3661,
154,Matay,EG,68.27,broken clouds,28.419,30.7792,
155,Wellington,NZ,64.06,broken clouds,-41.2866,174.7756,
156,Geraldton,AU,57.61,overcast clouds,-28.7667,114.6,
158,Talara,PE,70.56,clear sky,-4.5772,-81.2719,
160,Vierzon,FR,45.19,overcast clouds,47.2101,2.0625,
161,Wum,CM,67.28,broken clouds,6.3833,10.0667,
162,Capuluan,PH,77.54,light rain,13.8147,122.5181,
163,Sabha,LY,67.66,overcast clouds,27.0377,14.4283,
164,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,
165,Havoysund,NO,41.88,overcast clouds,70.9963,24.6622,
166,Tabuk,PH,73.99,moderate rain,17.4189,121.4443,
167,Venado Tuerto,AR,82.76,scattered clouds,-33.7456,-61.9688,
168,Tuatapere,NZ,47.64,overcast clouds,-46.1333,167.6833,
169,Isangel,VU,80.71,broken clouds,-19.55,169.2667,
170,Urumqi,CN,31.15,clear sky,43.801,87.6005,
171,Carnot,CF,70.03,light rain,4.9409,15.8665,
172,Saint George,US,77.34,clear sky,37.1041,-113.5841,
173,Pemangkat,ID,76.78,overcast clouds,1.1667,108.9667,
174,Hobyo,SO,79.09,overcast clouds,5.3505,48.5268,
